receipt_image,text,predicted_label,confidence
receipt_image_309_jpg.rf.LBG1J6bHp1qUJEPtv3yM.jpg,city,not_food,0.578
receipt_image_309_jpg.rf.LBG1J6bHp1qUJEPtv3yM.jpg,TOTAL A PAYER,not_food,0.6992
receipt_image_309_jpg.rf.LBG1J6bHp1qUJEPtv3yM.jpg,MERCI DE VOTRE VISITE,not_food,0.6994
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,SETAPAK.,not_food,0.7803
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,"53200, KUALA LUMPUR.",not_food,0.5017
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,Doc No.,not_food,0.6627
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,Salesperson,not_food,0.5617
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,Mineola NY 11501,not_food,0.7172
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,907 Victor V,not_food,0.5812
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,Tb1 12/1,not_food,0.778
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,Bar,not_food,0.5289
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,Subtotal,not_food,0.5448
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,SETAPAK.,not_food,0.7803
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,"53200,KUALA LUMPUR.",not_food,0.5017
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,Doc No.,not_food,0.6627
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,Salesperson,not_food,0.5617
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,THINNER BOTTLE,not_food,0.6376
receipt_image_112_jpg.rf.DRsj4IGcyk5HYyzIqlox.jpg,WE TAKE RESERVATONS,not_food,0.6966
receipt_image_112_jpg.rf.DRsj4IGcyk5HYyzIqlox.jpg,ENET,not_food,0.6596
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,Doc No,not_food,0.6441
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,Tine:,not_food,0.6309
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,Salesperson,not_food,0.5617
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,Tay,not_food,0.6731
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,Tolal Qty,not_food,0.6014
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,Total Sales (Exciuding GST),not_food,0.5838
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,SDN BHD,not_food,0.6648
receipt_image_448_jpg.rf.lOnihBosnpevMbaaQz0F.jpg,Tender,not_food,0.7216
receipt_image_448_jpg.rf.lOnihBosnpevMbaaQz0F.jpg,BIG.COM.MY,not_food,0.6695
